fid,osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,start_node,end_node,length
1,"25665562",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""","-80.4031231,37.2327897","-80.4027847,37.232467",46.7376520402322
2,"25665562",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""","-80.4027847,37.232467","-80.4022295,37.2319632",74.5323673432646
3,"25665562",,path,,,,,,1,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""","-80.4022295,37.2319632","-80.401673,37.2318383",51.446427567749
4,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4202636,37.2281969","-80.420655,37.2286075",57.2978917152291
5,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.420655,37.2286075","-80.4207854,37.2287442",19.0809762946091
6,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4207854,37.2287442","-80.4208776,37.2288286",12.4373271546287
7,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4208776,37.2288286","-80.4210063,37.2289034",14.1195564917575
8,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4210063,37.2289034","-80.4213189,37.2290078",30.087897651661
9,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4213189,37.2290078","-80.4213947,37.2290478",8.05958727684101
10,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4213947,37.2290478","-80.4214629,37.2290902",7.66640551018532
11,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4214629,37.2290902","-80.4214953,37.2291188",4.28277591227141
12,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4214953,37.2291188","-80.4215412,37.2291864",8.53685027790233
13,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4215412,37.2291864","-80.4215374,37.2290743",12.445645228233
14,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4215374,37.2290743","-80.4215044,37.2278484",136.084357711805
15,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4215044,37.2278484","-80.4214856,37.2275751",30.3772098938068
16,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4214856,37.2275751","-80.4214675,37.2270123",62.4835437825092
17,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4214675,37.2270123","-80.421457,37.2267534",28.7483198505382
18,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.421457,37.2267534","-80.4214361,37.2266599",10.5412729468604
19,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""","-80.4208199,37.2272934","-80.4208442,37.2273131",3.07094632502225
20,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""","-80.4208442,37.2273131","-80.421025,37.2274597",22.8508555087595
21,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""","-80.421025,37.2274597","-80.4215044,37.2278484",60.5887052832089
22,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""","-80.4215044,37.2278484","-80.4222287,37.2284297",91.0697196088117
23,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""","-80.4222287,37.2284297","-80.4224683,37.228622",30.1263538717842
24,"32709511",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4217156,37.2266386","-80.4231273,37.2278557",184.232786340167
25,"32709511",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""","-80.4231273,37.2278557","-80.4233184,37.2280171",24.6672285441765
26,"32709515",,steps,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""handrail""=>""yes"",""incline""=>""down"",""ramp""=>""no"",""step_count""=>""16"",""surface""=>""concrete"",""tactile_paving""=>""no""","-80.4242542,37.2278065","-80.4240937,37.2276733",20.528335188858
27,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""","-80.4207322,37.2255628","-80.4208565,37.2257138",20.063163852608
28,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""","-80.4208565,37.2257138","-80.4208853,37.2257503",4.78979251720508
29,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""","-80.4208853,37.2257503","-80.4209134,37.2257806",4.18654982613754
30,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""","-80.4209134,37.2257806","-80.4210028,37.2258796",13.5524096673851
