fid,osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,length,start_node,end_node
1,"25648482",Duck Pond Drive,tertiary,,,,,,4,"""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""no"",""surface""=>""asphalt""",40.491628707367,"-80.4268394,37.2281357","-80.4270022,37.2279498"
2,"25648482",Duck Pond Drive,tertiary,,,,,,4,"""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""no"",""surface""=>""asphalt""",40.491628707367,"-80.4270022,37.2279498","-80.4270797,37.2279151"
3,"25648482",Duck Pond Drive,tertiary,,,,,,4,"""lane_markings""=>""yes"",""lanes""=>""2"",""lanes:backward""=>""1"",""lanes:forward""=>""1"",""maxspeed""=>""25 mph"",""oneway""=>""no"",""parking:both""=>""no"",""sidewalk""=>""no"",""surface""=>""asphalt""",40.491628707367,"-80.4270797,37.2279151","-80.4271585,37.2278927"
4,"25665562",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""",172.716446951246,"-80.4031231,37.2327897","-80.4027847,37.232467"
5,"25665562",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""",172.716446951246,"-80.4027847,37.232467","-80.4022295,37.2319632"
6,"25665562",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""",172.716446951246,"-80.4022295,37.2319632","-80.4021109,37.2319211"
7,"25665562",,path,,,,,,0,"""foot""=>""yes"",""surface""=>""paved"",""width""=>""3""",172.716446951246,"-80.4021109,37.2319211","-80.401673,37.2318383"
8,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4202636,37.2281969","-80.420655,37.2286075"
9,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.420655,37.2286075","-80.4207854,37.2287442"
10,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4207854,37.2287442","-80.4208776,37.2288286"
11,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4208776,37.2288286","-80.4210063,37.2289034"
12,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4210063,37.2289034","-80.4213189,37.2290078"
13,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4213189,37.2290078","-80.4213947,37.2290478"
14,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4213947,37.2290478","-80.4214629,37.2290902"
15,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4214629,37.2290902","-80.4214953,37.2291188"
16,"32691848",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",161.569268285085,"-80.4214953,37.2291188","-80.4215412,37.2291864"
17,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4215412,37.2291864","-80.4215374,37.2290743"
18,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4215374,37.2290743","-80.4215353,37.2290112"
19,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4215353,37.2290112","-80.4215044,37.2278484"
20,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4215044,37.2278484","-80.4214856,37.2275751"
21,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4214856,37.2275751","-80.4214817,37.2273633"
22,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4214817,37.2273633","-80.4214675,37.2270123"
23,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.4214675,37.2270123","-80.421457,37.2267534"
24,"32709501",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",280.680349413752,"-80.421457,37.2267534","-80.4214361,37.2266599"
25,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""",207.706580597586,"-80.4208199,37.2272934","-80.4208442,37.2273131"
26,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""",207.706580597586,"-80.4208442,37.2273131","-80.421025,37.2274597"
27,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""",207.706580597586,"-80.421025,37.2274597","-80.4215044,37.2278484"
28,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""",207.706580597586,"-80.4215044,37.2278484","-80.4222287,37.2284297"
29,"32709504",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""surface""=>""asphalt""",207.706580597586,"-80.4222287,37.2284297","-80.4224683,37.228622"
30,"32709511",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",208.900014884344,"-80.4217156,37.2266386","-80.4227113,37.2274933"
31,"32709511",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",208.900014884344,"-80.4227113,37.2274933","-80.4231273,37.2278557"
32,"32709511",,path,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt""",208.900014884344,"-80.4231273,37.2278557","-80.4233184,37.2280171"
33,"32709515",,steps,,,,,,0,"""bicycle""=>""yes"",""foot""=>""yes"",""handrail""=>""yes"",""incline""=>""down"",""ramp""=>""no"",""step_count""=>""16"",""surface""=>""concrete"",""tactile_paving""=>""no""",20.528335188858,"-80.4242542,37.2278065","-80.4240937,37.2276733"
34,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4020779,37.2178992","-80.4027337,37.2176908"
35,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4027337,37.2176908","-80.4034473,37.2174643"
36,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4034473,37.2174643","-80.4036203,37.2173922"
37,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4036203,37.2173922","-80.403815,37.2172991"
38,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.403815,37.2172991","-80.4042997,37.2169777"
39,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4042997,37.2169777","-80.4048814,37.2165888"
40,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4048814,37.2165888","-80.4051609,37.2163999"
41,"32856082",,footway,,,,,,0,"""foot""=>""yes"",""surface""=>""asphalt""",326.909718172402,"-80.4051609,37.2163999","-80.4051463,37.2163776"
42,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""",42.5919158633357,"-80.4207322,37.2255628","-80.4208565,37.2257138"
43,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""",42.5919158633357,"-80.4208565,37.2257138","-80.4208853,37.2257503"
44,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""",42.5919158633357,"-80.4208853,37.2257503","-80.4209134,37.2257806"
45,"37394886",,path,,,,,,0,"""bicycle""=>""yes"",""check_date:surface""=>""2022-08-20"",""foot""=>""yes"",""surface""=>""concrete""",42.5919158633357,"-80.4209134,37.2257806","-80.4210028,37.2258796"
